base_depth,open_lifts,open_trails,resort_name,snowfall_24h,total_lifts,total_trails
27.0,3.0,5.0,"Yawgoo Valley, Rhode Island",0.0,4.0,13.0
19.0,6.0,22.0,Masella,0.0,20.0,69.0
18.0,7.0,23.0,"Angel Fire Resort, New Mexico",1.0,7.0,86.0
23.0,4.0,15.0,"Blacktail Mountain Ski Area, Montana",2.0,4.0,27.0
58.0,9.0,91.0,"Bogus Basin, Idaho",7.0,10.0,91.0
32.0,5.0,85.0,"Castle Mountain, Alberta",1.0,6.0,94.0
26.0,4.0,43.0,"Cooper, Colorado",2.0,5.0,64.0
2.5,7.0,51.0,"Dodge Ridge, California",7.0,10.0,71.0
14.0,1.0,2.0,"Eaglecrest Ski Area, Alaska",0.0,4.0,37.0
27.0,5.0,30.0,"Lost Trail - Powder Mtn, Montana",5.0,5.0,69.0
37.0,7.0,37.0,"Loveland Ski Area, Colorado",4.0,10.0,94.0
24.0,7.0,51.0,"Marmot Basin, Alberta",0.0,7.0,91.0
45.0,7.0,55.0,"Mission Ridge, Washington",3.0,7.0,55.0
14.0,5.0,5.0,"Mountain High, California",0.0,14.0,59.0
74.0,4.0,38.0,"Mt. Shasta Ski Park, California",1.0,6.0,38.0
41.0,6.0,33.0,"Sierra-at-Tahoe, California",0.0,14.0,47.0
60.0,7.0,75.0,"Silver Mountain, Idaho",6.0,7.0,80.0
40.0,8.0,30.0,"Ski China Peak, California",0.0,11.0,54.0
20.5,5.0,36.0,"Snow King Mountain, Wyoming",4.0,8.0,41.0
97.0,5.0,,"Timberline Lodge, Oregon",5.0,9.0,43.0
74.5,8.0,47.0,"White Pass, Washington",6.0,8.0,47.0
32.0,,,Mt. Hood Skibowl,6.0,,
,,,Bear Valley,,,
18.0,7.0,23.0,"Angel Fire Resort, New Mexico",1.0,7.0,86.0
28.0,5.0,21.0,"Bear Creek Mountain Resort, Pennsylvania",0.0,6.0,23.0
47.0,8.0,11.0,"Beech Mountain Resort, North Carolina",0.0,10.0,17.0
33.0,4.0,12.0,"Black Mountain, New Hampshire",0.0,5.0,68.0
58.0,9.0,91.0,"Bogus Basin, Idaho",7.0,10.0,91.0
